scene,clip_id,rank,action,grip_type,object_name,description
home_kitchen_p2,demo_13,420,,,,
grocery_target_p1,demo_063,377,picking up,Prismatic 2 Finger,woven storage basket,"A small tan wicker basket with a rectangular form and woven straw texture sits on a wooden retail shelf among other home goods. Under bright store lighting with price rails and mirrors in the background, the right hand reaches to the basket’s rim. It pinches the edge between thumb and finger to pull the basket forward and lift it from the shelf, then the contact eases as the basket is held out from the cubby."
fablab_ml_p1,demo_49,346,,,,
sports_dicks_p1,demo_016,303,,,,
hardware_homedepot_p5,demo_134,300,pulling,Medium Wrap,refrigerator door handle,"A stainless steel side-by-side refrigerator with an in-door water/ice dispenser is displayed on a showroom floor with price signage. The right hand encloses the tall vertical metal handle and pulls it toward the body to swing the door open, revealing the white interior shelves. Contact concentrates on the fingertips and thumb during the pull, then eases as the door reaches an open position and the hand begins to release."
office_ml_p1,demo_094,298,placing,Prismatic 2 Finger,multi-colored modeling clay pack,"A clear plastic-wrapped pack of small, brightly colored clay bars is handled at a desk with a monitor, compact keyboard, and other office items under indoor lighting. The right hand pinches the narrow edge of the pack with thumb and fingertip control to guide it toward an open cardboard box on the desktop. Contact peaks as the pack is aligned and lowered into the box, then pressure drops as the pack is released."
sports_dicks_p1,demo_052,295,,,,
hardware_homedepot_p5,demo_163,257,picking up,Prismatic 2 Finger,wooden slatted crate,"A small unfinished wooden crate with four light pine slats is in front of a shelf stocked with plastic storage bins in a store aisle under bright overhead lighting. The right hand reaches to the right edge of the crate and pinches the side rail with the thumb and index to initiate a lift. Contact pressure increases as the crate is raised from the surface, then decreases as the object is stabilized and repositioned."
grocery_target_p3,demo_206,250,,,,
hardware_homedepot_p4,demo_90,234,,,,
fablab_ml_p1,demo_49,233,,,,
office_ml_p1,demo_032,232,pressing,Index Finger Extension,hand sanitizer pump bottle,"A small white plastic pump dispenser sits on a white office desk amid cables, a docking hub, tissue boxes, and a monitor below a wall whiteboard. The right hand approaches and positions over the pump head. It then uses an extended index finger to press the plunger straight down, with pressure concentrated at the fingertip, before releasing and withdrawing."
office_csail_p1,demo_117,226,placing,Small Diameter,Diet Coke can,"The right hand selects a single silver aluminum soda can from an open 12-pack carton on a wooden table. In a dim indoor home setting with paper plates and a tissue box nearby, the can is moved to an open spot on the tabletop. The hand tightens in a small-diameter wrap around the cylindrical can during the transfer, then releases as the can is placed down."
home_kitchen_p1,demo_076,193,picking up,Prismatic 3 Finger,wooden chopsticks,"At a stainless kitchen sink with a wire drying rack, a pair of light bamboo chopsticks rests on the rack near a small white bowl. The right hand approaches and pinches the sticks near their midsection using thumb, index, and middle fingers, tightening to lift them from the rack. After the lift, contact lessens as the chopsticks are repositioned."
grocery_target_p3,demo_204,183,,,,
